n,kind,query,intended,intended_tmdb_id,bi_rank,xe_rank,rank_change,hit_at_5,miss_cause,returned_first,returned_first_percent,top_5
1,premise,toys that come alive when nobody is around and a cowboy gets jealous of a new spaceman toy,Toy Story (1995),862,7,4,3,yes,,Toy Story 2,19,Toy Story 2 | Toy Story 5 | Toy Story 4 | Toy Story | Toy Story 3
2,premise,a little trash compacting robot left all alone on an abandoned earth,WALL·E (2008),10681,1,1,0,yes,,WALL·E,0,WALL·E | The Black Hole | Eight Below | Unidentified Flying Oddball | Toy Story 3
3,premise,the emotions inside a girls head run her from a control room,Inside Out (2015),150540,2,1,1,yes,,Inside Out,1,"Inside Out | Inside Out 2 | Run, Appaloosa, Run! | Maleficent | Labyrinth"
4,premise,a rich weapons designer gets kidnapped and builds a robotic suit of armor to escape,Iron Man (2008),1726,1,1,0,yes,,Iron Man,75,Iron Man | Guns in the Heather | The Invincible Iron Man | Kidnapped | Escape to Witch Mountain
5,premise,a hidden advanced african nation with a special metal that powers everything,Black Panther (2018),284054,2,1,1,yes,,Black Panther,24,Black Panther | Ultimate Avengers 2 | Black Panther: Wakanda Forever | Indiana Jones and the Kingdom of the Crystal Skull | The Black Cauldron
6,premise,a team of misfits in space with a talking raccoon and a tree that talks,Guardians of the Galaxy (2014),118340,29,20,9,no,stage-2: reranker demoted it,Chicken Little,0,"Chicken Little | Guardians of the Galaxy Vol. 3 | Ringo, the Refugee Raccoon | A Tale of Two Critters | Rascal"
7,premise,a skinny guy takes a serum during world war 2 and becomes a super soldier,Captain America: The First Avenger (2011),1771,8,1,7,yes,,Captain America: The First Avenger,7,Captain America: The First Avenger | Captain America: The Winter Soldier | The Incredible Hulk | Red Tails | The Black Cauldron
8,premise,a lonely hawaiian girl adopts an alien thinking that its a dog,Lilo & Stitch (2002),11544,2,1,1,yes,,Lilo & Stitch,98,"Lilo & Stitch | Lilo & Stitch | Concho, the Coyote Who Wasn't | Atta Girl, Kelly! | Cheetah"
9,premise,a video game bad guy is tired of being the villain and leaves his arcade game,Wreck-It Ralph (2012),82690,1,1,0,yes,,Wreck-It Ralph,96,Wreck-It Ralph | Ralph Breaks the Internet | Tron | Avengers: Age of Ultron | TRON: Legacy
10,premise,a selfish emperor gets turned into a llama and has to travel home with a peasant,The Emperor's New Groove (2000),11688,1,1,0,yes,,The Emperor's New Groove,88,The Emperor's New Groove | Brave | Mulan | Mulan | I'll Be Home for Christmas
11,premise,a family living in a magic house where everyone gets a special power except one girl,Encanto (2021),568124,1,1,0,yes,,Encanto,92,Encanto | Summer Magic | The Haunted Mansion | Haunted Mansion | One Magic Christmas
