n,kind,query,intended,intended_tmdb_id,bi_rank,xe_rank,rank_change,hit_at_5,miss_cause,returned_first,returned_first_percent,top_5
1,premise,toys that come alive when nobody is around and a cowboy gets jealous of a new spaceman toy,Toy Story (1995),862,5,5,0,yes,,Toy Story 2,7,Toy Story 2 | Toy Story 5 | Toy Story 4 | Toy Story 3 | Toy Story
2,premise,a little trash compacting robot left all alone on an abandoned earth,WALL·E (2008),10681,1,1,0,yes,,WALL·E,0,WALL·E | The Black Hole | Eight Below | Big Hero 6 | Unidentified Flying Oddball
3,premise,the emotions inside a girls head run her from a control room,Inside Out (2015),150540,2,2,0,yes,,Inside Out 2,0,"Inside Out 2 | Inside Out | Run, Appaloosa, Run! | Maleficent | First Kid"
4,premise,a rich weapons designer gets kidnapped and builds a robotic suit of armor to escape,Iron Man (2008),1726,1,1,0,yes,,Iron Man,42,Iron Man | Guns in the Heather | Kidnapped | Inspector Gadget 2 | Star Wars
5,premise,a hidden advanced african nation with a special metal that powers everything,Black Panther (2018),284054,2,1,1,yes,,Black Panther,17,Black Panther | Ultimate Avengers 2 | Indiana Jones and the Kingdom of the Crystal Skull | Black Panther: Wakanda Forever | The Invincible Iron Man
6,premise,a team of misfits in space with a talking raccoon and a tree that talks,Guardians of the Galaxy (2014),118340,113,,,no,stage-1: never reached the reranker,"Ringo, the Refugee Raccoon",0,"Ringo, the Refugee Raccoon | A Tale of Two Critters | Twice Upon a Time | Chicken Little | Rascal"
7,premise,a skinny guy takes a serum during world war 2 and becomes a super soldier,Captain America: The First Avenger (2011),1771,4,1,3,yes,,Captain America: The First Avenger,5,Captain America: The First Avenger | Red Tails | Captain America: The Winter Soldier | The Black Cauldron | The Strongest Man in the World
8,premise,a lonely hawaiian girl adopts an alien thinking that its a dog,Lilo & Stitch (2002),11544,2,1,1,yes,,Lilo & Stitch,94,"Lilo & Stitch | Lilo & Stitch | Concho, the Coyote Who Wasn't | Atta Girl, Kelly! | Cheetah"
9,premise,a video game bad guy is tired of being the villain and leaves his arcade game,Wreck-It Ralph (2012),82690,1,1,0,yes,,Wreck-It Ralph,94,Wreck-It Ralph | Ralph Breaks the Internet | Spider-Man 3 | Spider-Man: Brand New Day | LEGO Marvel Avengers: Mission Demolition
10,premise,a selfish emperor gets turned into a llama and has to travel home with a peasant,The Emperor's New Groove (2000),11688,1,1,0,yes,,The Emperor's New Groove,91,The Emperor's New Groove | Mulan | Mulan | Squanto: A Warrior's Tale | Snow White
11,premise,a family living in a magic house where everyone gets a special power except one girl,Encanto (2021),568124,1,1,0,yes,,Encanto,64,Encanto | Summer Magic | One Magic Christmas | Mary Poppins | Freaky Friday
12,premise,a scottish princess doesnt want to marry and accidentally turns her mother into a bear,Brave (2012),62177,3,1,2,yes,,Brave,1,Brave | The Princess and the Frog | The Princess Diaries | Disenchanted | The Sword and the Rose
13,premise,a magical nanny flies in with an umbrella to look after two kids in london,Mary Poppins (1964),433,1,1,0,yes,,Mary Poppins,95,Mary Poppins | Bedknobs and Broomsticks | Summer Magic | Peter Pan | James and the Giant Peach
14,premise,a famous race car gets stuck in a tiny desert town and has to repair the road,Cars (2006),920,1,1,0,yes,,Cars,1,"Cars | Cars 2 | The Love Bug | Joker, The Amiable Ocelot | Cars 3"
